,CPIR
1963Q1,0.3181917928461786
1963Q2,0.18593459477194152
1963Q3,0.6113537117903967
1963Q4,0.27126736111111605
1964Q1,0.4112109079104087
1964Q2,0.16165535079211146
1964Q3,0.2259522272433756
1964Q4,0.46162104133118387
1965Q1,0.3098952767685459
1965Q2,0.639181847235526
1965Q3,0.2963903884831254
1965Q4,0.5277044854881341
1966Q1,0.9343832020997089
1966Q2,0.9049303099646577
1966Q3,0.8658901144211972
1966Q4,0.8175779253960069
1967Q1,0.25342118601114905
1967Q2,0.6066734074822833
1967Q3,1.005025125628145
1967Q4,1.0945273631840724
1968Q1,0.984251968503913
1968Q2,0.974658869395717
1968Q3,1.3513513513513598
1968Q4,1.2380952380952381
1969Q1,1.2229539040451654
1969Q2,1.579925650557601
1969Q3,1.3723696248856276
1969Q4,1.534296028880866
1970Q1,1.6000000000000014
1970Q2,1.3998250218722585
1970Q3,1.035375323554777
1970Q4,1.451750640478222
1971Q1,0.8417508417508213
1971Q2,0.9181969949916713
1971Q3,0.9925558312654958
1971Q4,0.7371007371007376
1972Q1,0.8130081300813163
1972Q2,0.6451612903225712
1972Q3,0.8012820512820484
1972Q4,1.0333863275039823
1973Q1,1.5735641227379915
1973Q2,2.091402013942689
1973Q3,1.9726858877086473
1973Q4,2.529761904761907
1974Q1,2.9753265602321832
1974Q2,2.6779422128259567
1974Q3,2.8140013726836166
1974Q4,3.0707610146862407
1975Q1,2.1373056994818507
1975Q2,1.2048192771084265
1975Q3,2.005012531328343
1975Q4,1.8427518427518441
1976Q1,1.1459589867309772
1976Q2,0.8944543828264706
1976Q3,1.5957446808510634
1976Q4,1.4543339150668855
1977Q1,1.83486238532109
1977Q2,1.745495495495497
1977Q3,1.3835085777531786
1977Q4,1.473799126637565
1978Q1,1.7213555675094083
1978Q2,2.2739291380222237
1978Q3,2.326783867631854
1978Q4,2.3244062657908016
1979Q1,2.51851851851852
1979Q2,3.17919075144506
1979Q3,3.2212885154061732
1979Q4,3.165988240615114
1980Q1,3.945637878123609
1980Q2,3.3741037536904273
1980Q3,1.8767849857201035
1980Q4,2.8033640368442025
1981Q1,2.7658745617452407
1981Q2,2.0849128127369054
1981Q3,2.7849981433345716
1981Q4,1.6257225433526035
1982Q1,0.8887308922858272
1982Q2,1.444679351656064
1982Q3,1.7367141368530792
1982Q4,0.3072721065210171
1983Q1,0.0680735194009463
1983Q2,1.1564625850340127
1983Q3,0.9751176866173772
1983Q4,0.9990009990010096
1984Q1,1.4177382129904492
1984Q2,0.942782834850453
1984Q3,0.8695652173912993
1984Q4,0.8620689655172376
1985Q1,0.9180120291231386
1985Q2,0.9096612296110473
1985Q3,0.6216972334472937
1985Q4,1.019462465245602
1986Q1,0.5198776758409851
1986Q2,-0.4867660480681324
1986Q3,0.6114338122898078
1986Q4,0.6988757216651376
1987Q1,1.207000603500319
1987Q2,1.1329755515802065
1987Q3,1.0613207547169878
1987Q4,0.933488914819125
1988Q1,0.7803468208092523
1988Q2,1.1471178663607695
1988Q3,1.219166430394103
1988Q4,1.092436974789912
1989Q1,1.1360487669714647
1989Q2,1.6164383561643625
1989Q3,0.7818819088703188
1989Q4,1.016586409844833
1990Q1,1.7213983050847315
1990Q2,0.9893256964332187
1990Q3,1.7272492910544113
1990Q4,1.6979219462746942
1991Q1,0.7475703962123381
1991Q2,0.5936186000494503
1991Q3,0.762232603884927
1991Q4,0.829673011224985
1992Q1,0.6776379477250849
1992Q2,0.7692307692307665
1992Q3,0.7633587786259444
1992Q4,0.8759469696969724
1993Q1,0.7275287491199434
1993Q2,0.7222739981360471
1993Q3,0.4626416840157521
1993Q4,0.8289201013124581
1994Q1,0.5023978077186575
1994Q2,0.5680527152919668
1994Q3,0.9263443289652118
1994Q4,0.5820461159615098
1995Q1,0.7344758513242677
1995Q2,0.8174988952717621
1995Q3,0.504054350208194
1995Q4,0.5451373746184096
1996Q1,0.889178052483186
1996Q2,0.8598452278590019
1996Q3,0.5754475703324768
1996Q4,0.8688281415554222
1997Q1,0.6092436974789894
1997Q2,0.2296930465650604
1997Q3,0.49999999999998934
1997Q4,0.5389718076285188
1998Q1,0.20618556701030855
1998Q2,0.3292181069958877
1998Q3,0.5127153404429929
1998Q4,0.4692919812283147
1999Q1,0.36555645816409577
1999Q2,0.7486847430190346
1999Q3,0.7431211086563749
1999Q4,0.7376395534290259
2000Q1,0.9895111814763435
2000Q2,0.783852635704485
2000Q3,0.9138635037915677
2000Q4,0.7129094412331449
2001Q1,0.9565716472163643
2001Q2,0.70115595982565
2001Q3,0.2822732404968109
2001Q4,-0.07506098705197806
2002Q1,0.3192488262910853
2002Q2,0.7862223886184738
2002Q3,0.538632986627019
2002Q4,0.5911694069832052
2003Q1,1.028466483011936
2003Q2,-0.1636066169787176
2003Q3,0.7465404224326067
2003Q4,0.37954093620098384
2004Q1,0.8462369463449804
2004Q2,0.785574004642009
2004Q3,0.6377325066430517
2004Q4,1.073754620665368
2005Q1,0.5050505050504972
2005Q2,0.6757927568878719
2005Q3,1.5146299483648873
2005Q4,0.9325194981349538
2006Q1,0.5207458424324019
2006Q2,0.9024064171123003
2006Q3,0.9440211990725533
2006Q4,-0.41017227235438103
2007Q1,0.9803953871499127
2007Q2,1.1325538256728551
2007Q3,0.6330124715071772
2007Q4,1.2266417875755442
2008Q1,1.083188565076032
2008Q2,1.3009373203260566
2008Q3,1.5418805375084998
2008Q4,-2.2901902729738577
2009Q1,-0.6878696149613561
2009Q2,0.5317571056592474
2009Q3,0.8603933360498583
2009Q4,0.7829333531466087
2010Q1,0.15850343270515932
2010Q2,-0.03526947411681691
2010Q3,0.2931467175544489
2010Q4,0.8097240300212638
2011Q1,1.0672177236431102
2011Q2,1.1370135904199108
2011Q3,0.6520658151564662
2011Q4,0.4489026659863393
2012Q1,0.5631718496290183
2012Q2,0.21110167041860084
2012Q3,0.45147022831371064
2012Q4,0.6649524381347582
2013Q1,0.4019547390319733
2013Q2,-0.10948517573591277
2013Q3,0.540843370897881
2013Q4,0.3697671095870936
2014Q1,0.6227864390565996
2014Q2,0.5310788653529741
2014Q3,0.2558340146661342
2014Q4,-0.2484437176724863
2015Q1,-0.6472810677323193
2015Q2,0.6819485458137597
2015Q3,0.37770087778528083
2015Q4,-0.007567635744465395
2016Q1,-0.0620873399288846
2016Q2,0.7997834708611151
2016Q3,0.4244745544826012
2016Q4,0.6347825364148019
2017Q1,0.7037406181684025
2017Q2,0.1153768338628236
2017Q3,0.4780435851220677
2017Q4,0.7955306776687543
2018Q1,0.8426417154837162
2018Q2,0.5444105004913213
