date,HP_index,dHP_log
1970Q1,10.5816,
1970Q2,10.6594,0.732548824569168
1970Q3,10.8271,1.561011847955296
1970Q4,10.9648,1.263789139447713
1971Q1,11.2643,2.694829073432592
1971Q2,11.5697,2.6751179158618577
1971Q3,11.6954,1.0805990359583628
1971Q4,11.9769,2.3784192492335876
1972Q1,12.0128,0.29929533757115934
1972Q2,12.3542,2.8023338261222275
1972Q3,12.5997,1.9676917918951542
1972Q4,12.8751,2.162220935975645
1973Q1,13.444,4.323769635293129
1973Q2,13.7674,2.377056878242101
1973Q3,14.1207,2.533832726183416
1973Q4,14.4202,2.0988195479026306
1974Q1,14.7735,2.4205033909588725
1974Q2,15.0609,1.9266946246578431
1974Q3,15.4622,2.6296354209585093
1974Q4,15.558,0.6176640032689473
1975Q1,15.9712,2.621212450857069
1975Q2,16.4263,2.809660858630325
1975Q3,16.7197,1.7703956032396828
1975Q4,17.0311,1.845341957342983
1976Q1,16.5772,-2.701282720612319
1976Q2,17.1054,3.1365945852137145
1976Q3,17.5407,2.5129691796337283
1976Q4,18.2561,3.997537582826638
1977Q1,19.0143,4.06920569043705
1977Q2,19.9053,4.579470026848664
1977Q3,20.6178,3.516875243648032
1977Q4,21.1953,2.76246786208616
1978Q1,22.1102,4.2259581523030665
1978Q2,22.8575,3.3240250547314165
1978Q3,23.7978,4.031384837363383
1978Q4,24.4755,2.8079477787019247
1979Q1,25.571,4.378627965136106
1979Q2,26.7189,4.3912283287903975
1979Q3,27.6976,3.597458668396536
1979Q4,28.6815,3.490654877865884
1980Q1,29.3294,2.2338110291029167
1980Q2,29.6987,1.2512847896886559
1980Q3,30.644,3.133361084767161
1980Q4,31.2941,2.0992696720920634
1981Q1,31.8702,1.824182252825457
1981Q2,32.2678,1.2398425060782259
1981Q3,32.566,0.9198970377496618
1981Q4,32.9672,1.2244328445199404
1982Q1,33.0906,0.37361263481776597
1982Q2,33.1602,0.21011074765882043
1982Q3,33.1842,0.07234974179253228
1982Q4,33.4113,0.6820307087588517
1983Q1,33.7668,1.0583905128549453
1983Q2,34.2036,1.2852830440619911
1983Q3,34.6752,1.369383234185273
1983Q4,35.1134,1.2558089970813313
1984Q1,35.5219,1.156658368502539
1984Q2,35.9942,1.3208406680841556
1984Q3,36.534,1.4885519489282295
1984Q4,36.7894,0.6966426349641619
1985Q1,37.2233,1.17251490893997
1985Q2,38.046,2.1861044652415895
1985Q3,38.3754,0.8620675359857
1985Q4,39.1133,1.9045933299129292
1986Q1,39.902,1.9963885347933807
1986Q2,40.679,1.9285540821116776
1986Q3,41.615,2.2748690424072127
1986Q4,42.2687,1.558618023536118
1987Q1,43.6588,3.235800619842477
1987Q2,44.6325,2.2057427573135335
1987Q3,45.6113,2.1693199633816995
1987Q4,46.5284,1.990738600916897
1988Q1,47.2546,1.5487124850499079
1988Q2,48.4365,2.470365804069674
1988Q3,49.7853,2.7466097994149674
1988Q4,51.0441,2.4970205230614884
1989Q1,52.1325,2.1098589696687764
1989Q2,52.919,1.4973887960133325
1989Q3,53.6372,1.3480414579413402
1989Q4,54.3193,1.263673936930898
1990Q1,55.0803,1.3912523899245244
1990Q2,55.1333,0.0961768857662193
1990Q3,55.0005,-0.24116132261369216
1990Q4,54.7473,-0.4614223688150787
1991Q1,54.349,-0.730183827816866
1991Q2,54.7285,0.6958383374256805
1991Q3,54.5558,-0.3160566408183296
1991Q4,54.4136,-0.2609908482889889
1992Q1,54.5347,0.2223073694102684
1992Q2,54.4324,-0.18776315062969395
1992Q3,54.3548,-0.14266386700199085
1992Q4,54.5166,0.2972316313020862
1993Q1,54.682,0.30293451837057894
1993Q2,54.9476,0.4845416195032648
1993Q3,55.3357,0.7038266031464957
1993Q4,55.8429,0.9124121344895819
1994Q1,56.0163,0.31003286076405345
1994Q2,56.3421,0.5799315638349789
1994Q3,56.6112,0.4764810043156764
1994Q4,56.863,0.4438020506655427
1995Q1,57.0589,0.34392016476871845
1995Q2,57.4231,0.6362593746546352
1995Q3,57.939,0.8944071565525569
1995Q4,58.2386,0.5157632179392024
1996Q1,58.7349,0.8485733574080001
1996Q2,59.147,0.6991771913868128
1996Q3,59.4808,0.5627700774719635
1996Q4,59.8566,0.6298130212656794
1997Q1,60.3463,0.8147935020121899
1997Q2,60.9572,1.007234193155515
1997Q3,61.7075,1.2233500874776482
1997Q4,62.6347,1.4913958190596155
1998Q1,63.8834,1.974010909657764
1998Q2,64.7395,1.3311978540864189
1998Q3,65.883,1.7508916345486014
1998Q4,67.1309,1.8764003070106838
1999Q1,68.167,1.5316132094968182
1999Q2,69.515,1.958197984316623
1999Q3,70.8812,1.9462679554580475
1999Q4,72.4056,2.1278408290673845
2000Q1,74.1883,2.43228113327687
2000Q2,76.0943,2.53669048173899
2000Q3,77.7405,2.140299648186872
2000Q4,79.505,2.2443555665571324
2001Q1,81.4089,2.366469087666001
2001Q2,82.8454,1.7491616662385745
2001Q3,84.4177,1.8800874951065083
2001Q4,85.8202,1.6477314765293016
2002Q1,87.3736,1.7938767516000098
2002Q2,89.6481,2.5698828760395642
2002Q3,91.9379,2.522134283781341
2002Q4,93.8055,2.0110140553674327
2003Q1,95.7108,2.010765506845491
2003Q2,97.7677,2.126311188622232
2003Q3,100.6067,2.8624599203221024
2003Q4,103.8985,3.2195605196807975
2004Q1,107.4261,3.338870826839724
2004Q2,111.6829,3.8860436414884347
2004Q3,115.4862,3.348743657836639
2004Q4,119.8358,3.697143012178472
2005Q1,124.7724,4.036880520526953
2005Q2,129.717,3.8863876806129127
2005Q3,134.2045,3.400960157993893
2005Q4,137.9316,2.7393154090025185
2006Q1,140.5029,1.8470219023033252
2006Q2,139.4966,-0.7187900925639035
2006Q3,138.4547,-0.749703189038442
2006Q4,138.4431,-0.008378542557441193
2007Q1,137.09,-0.982176644077537
2007Q2,133.0182,-3.0151683482818825
2007Q3,129.3397,-2.804368441730176
2007Q4,125.2048,-3.249147995845103
2008Q1,120.3197,-3.9798429741879637
2008Q2,114.8745,-4.631213873810669
2008Q3,109.774,-4.541652124520734
2008Q4,104.1343,-5.274229463915869
2009Q1,101.1052,-2.951985329761264
2009Q2,101.103,-0.0021759750594263494
2009Q3,101.3874,0.2809023904417174
2009Q4,101.9802,0.5829853712848276
2010Q1,101.0457,-0.9205787041215885
2010Q2,101.3664,0.3168785545439867
2010Q3,99.2151,-2.145145484935007
2010Q4,98.3728,-0.852587736665189
2011Q1,96.6728,-1.743226250665053
2011Q2,97.2068,0.5508587291608968
2011Q3,97.5834,0.3866729119131662
2011Q4,97.476,-0.11012031294388436
2012Q1,98.359,0.9017856705048288
2012Q2,100.8694,2.5202560236964544
2012Q3,102.89,1.9833845588888899
2012Q4,105.1523,2.17493190357958
2013Q1,107.8099,2.495971556934151
2013Q2,110.604,2.5586763806671797
2013Q3,113.3712,2.4711135984757604
2013Q4,115.5609,1.913027294541525
2014Q1,117.078,1.304271561121606
2014Q2,117.8362,0.6455145178777322
2014Q3,119.3823,1.3035424243963867
2014Q4,121.2165,1.52472542193971
2015Q1,122.7554,1.2615554577322108
2015Q2,124.1862,1.1588294654593767
2015Q3,125.9529,1.412597532850146
2015Q4,127.8146,1.4672748876520814
2016Q1,129.3636,1.204626777517337
2016Q2,130.8147,1.1154773834275211
2016Q3,132.6293,1.3776200622283241
2016Q4,134.708,1.5551454240795515
2017Q1,136.5226,1.3380695793231645
2017Q2,138.4663,1.4136806034572125
2017Q3,140.582,1.5163973701025846
2017Q4,142.8312,1.5872565014197093
2018Q1,145.0513,1.5423959518453323
2018Q2,146.7179,1.142422247462349
